ticker,date,side,spot,final,vol_rank_pct,credit,max_loss,pnl_per_spread
TSLA,2024-05-15,bull_put,174.07,178.76,0.96,182.68,317.32,182.68
TSLA,2024-05-16,bull_put,174.86,178.12,0.948,180.86,319.14,180.86
TSLA,2024-05-17,bull_put,177.54,176.24,0.944,180.36,319.64,180.36
TSLA,2024-05-20,bull_put,175.0,174.78,0.94,178.59,321.41,178.59
TSLA,2024-05-21,bull_put,186.63,174.96,0.948,182.67,317.33,-51.18
TSLA,2024-05-22,bull_put,180.19,177.99,0.933,171.33,328.67,171.33
TSLA,2024-05-23,bull_put,173.79,177.47,0.929,169.82,330.18,169.82
TSLA,2024-05-24,bull_put,179.25,173.89,0.933,171.29,328.71,171.29
TSLA,2024-07-03,bull_put,246.6,249.09,0.722,148.01,351.99,148.01
TSLA,2024-07-05,bull_put,251.69,239.24,0.702,147.65,352.35,147.65
TSLA,2024-07-08,bull_put,252.88,251.45,0.718,148.18,351.82,148.18
TSLA,2024-07-09,bull_put,262.33,246.48,0.714,148.45,351.55,-124.9
TSLA,2024-07-11,bull_put,240.72,220.29,0.901,166.08,333.92,-333.92
TSLA,2024-07-12,bull_put,248.32,219.79,0.897,166.1,333.9,-333.9
TSLA,2024-07-15,bull_put,252.76,231.99,0.893,166.14,333.86,-333.86
TSLA,2024-07-16,bull_put,256.56,222.58,0.861,163.28,336.72,-336.72
TSLA,2024-07-17,bull_put,248.45,232.0,0.877,164.75,335.25,-238.0
TSLA,2024-07-18,bull_put,249.09,216.94,0.869,163.62,336.38,-336.38
TSLA,2024-07-19,bull_put,239.24,207.68,0.905,166.33,333.67,-333.67
TSLA,2024-07-22,bull_put,251.45,198.96,0.913,169.03,330.97,-330.97
TSLA,2024-07-23,bull_put,246.48,200.37,0.921,170.22,329.78,-329.78
TSLA,2024-07-24,bull_put,215.72,191.82,0.996,191.45,308.55,-308.55
TSLA,2024-07-25,bull_put,220.29,198.97,0.98,190.55,309.45,-309.45
TSLA,2024-07-26,bull_put,219.79,199.99,0.98,190.57,309.43,-309.43
TSLA,2024-07-29,bull_put,231.99,197.55,1.0,193.16,306.84,-306.84
TSLA,2024-07-30,bull_put,222.58,207.9,0.996,192.07,307.93,-163.03
TSLA,2024-07-31,bull_put,232.0,201.37,0.925,185.98,314.02,-314.02
TSLA,2024-08-01,bull_put,216.94,214.21,0.921,184.5,315.5,184.5
TSLA,2024-08-02,bear_call,207.68,216.19,0.921,160.43,339.57,160.43
TSLA,2024-08-05,bear_call,198.96,222.73,0.929,160.34,339.66,-339.66
TSLA,2024-08-06,bear_call,200.37,221.09,0.901,159.17,340.83,-340.83
